sr_no,state,work_raw,work_id_raw,ida_raw,mp_name_raw,constituency,expenditure_date_raw,vendor_raw,payment_status,fund_disbursed_amount,house,state_key,work_id,work_key,district_name,ida_key,mp_name_clean,mp_key,elected_nominated,expenditure_date,vendor_clean,vendor_id
381,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP468/2025-2026/235859,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),Anurag Sharma,JHANSI,21-Aug-2026,OM PRAKASH ARYA,Payment In-Progress,124876.0,LS,Uttar Pradesh,WS/MP468/2025-2026/235859,LS|WS/MP468/2025-2026/235859,Jhansi,JHANSI,ANURAG SHARMA,LS_ANURAG SHARMA,,2026-08-21,OM PRAKASH ARYA,v_0ca14edb747e
382,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP468/2025-2026/235770,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),Anurag Sharma,JHANSI,21-Aug-2026,OM PRAKASH ARYA,Payment In-Progress,124752.0,LS,Uttar Pradesh,WS/MP468/2025-2026/235770,LS|WS/MP468/2025-2026/235770,Jhansi,JHANSI,ANURAG SHARMA,LS_ANURAG SHARMA,,2026-08-21,OM PRAKASH ARYA,v_0ca14edb747e
383,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18232/2026-2027/232685,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,23-Aug-2026,Khand vikas adhari,Payment In-Progress,75442.0,LS,Uttar Pradesh,WS/MP18232/2026-2027/232685,LS|WS/MP18232/2026-2027/232685,Muzaffarnagar,MUZAFFARNAGAR,HARENDRA SINGH MALIK,LS_HARENDRA SINGH MALIK,,2026-08-23,KHAND VIKAS ADHARI,v_6990918e5052
384,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251604,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251604,LS|WS/MP18404/2025-2026/251604,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
385,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251603,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251603,LS|WS/MP18404/2025-2026/251603,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
386,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251609,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251609,LS|WS/MP18404/2025-2026/251609,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
387,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251611,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251611,LS|WS/MP18404/2025-2026/251611,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
388,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251613,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251613,LS|WS/MP18404/2025-2026/251613,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
389,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251608,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251608,LS|WS/MP18404/2025-2026/251608,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
390,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251617,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251617,LS|WS/MP18404/2025-2026/251617,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
391,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251615,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251615,LS|WS/MP18404/2025-2026/251615,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
392,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251616,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251616,LS|WS/MP18404/2025-2026/251616,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
393,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251622,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251622,LS|WS/MP18404/2025-2026/251622,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
394,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/251614,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),24-Mar-2026,Gul Ahmad Contractor,Payment In-Progress,26819.0,LS,Uttar Pradesh,WS/MP18404/2025-2026/251614,LS|WS/MP18404/2025-2026/251614,Bijnor,BIJNOR,CHANDRA SHEKHAR,LS_CHANDRA SHEKHAR,,2026-03-24,GUL AHMAD CONTRACTOR,v_2fa38751e51d
