work_key,work_id,house,state,state_key,district_name,ida_raw,ida_key,mp_name_raw,mp_name_clean,mp_key,constituency,elected_nominated,work_raw,work_category_raw,category_raw,category_nlp,work_description_raw,work_description_clean,recommended_date,sanction_date,completion_date,recommended_amount,sanction_amount,amount_disbursed,work_status,image_raw,source_stage,quarantine_reason,work_key_mode,work_key_source
wk_2bb86b980447,,RS,Karnataka,Karnataka,Bengaluru Urban,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN,Shri G.C. Chandrashekhar (2024-30) (2024-2030),G C CHANDRASHEKHAR,RS_G C CHANDRASHEKHAR,,Elected MP,Installing tube-wells and borewells,Normal/Others,Normal/Others,,"Installation of HP Motor Pump and Pipe line at Ward no.61, Bangalore District, Gandhinagar Assembly Constituency","Installation of HP Motor Pump and Pipe line at Ward no.61, Bangalore District, Gandhinagar Assembly Constituency",2026-01-03 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2bb86b980447
wk_2bd3ea285b4d,,RS,Karnataka,Karnataka,Bagalkote,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),BAGALKOTE,Shri Narayanasa K. Bhandage (2024-30) (2024-2030),NARAYANASA K BHANDAGE,RS_NARAYANASA K BHANDAGE,,Elected MP,Purchase of furniture and fixtures for educational purposes,Normal/Others,Normal/Others,,Purchase of furniture and fixtures for educational purposes to Government First Grade College in Bagalkote.,Purchase of furniture and fixtures for educational purposes to Government First Grade College in Bagalkote.,2025-12-14 00:00:00,,,210000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2bd3ea285b4d
wk_2bd54c6b0c2d,,RS,Bihar,Bihar,Sitamarhi,SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA),SITAMARHI,Dr. Bhim Singh (2024-30) (2024-2030),BHIM SINGH,RS_BHIM SINGH,,Elected MP,Construction of common work sheds/ common covered sitting area,Normal/Others,Normal/Others,,Construction work of 20 feet x15 feet covered community Chaupal,Construction work of 20 feet x15 feet covered community Chaupal,2025-11-27 00:00:00,,,530000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2bd54c6b0c2d
wk_2bf086f7bea1,,LS,Goa,Goa,North Goa,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),NORTH GOA,Shripad Yesso Naik,SHRIPAD YESSO NAIK,LS_SHRIPAD YESSO NAIK,NORTH GOA,,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Normal/Others,Normal/Others,,"Three Wheeler bike to Shri Christopher D R Fernandes, Miramar, Panaji","Three Wheeler bike to Shri Christopher D R Fernandes, Miramar, Panaji",2024-12-05 00:00:00,,,130000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2bf086f7bea1
wk_2c1492fb383a,,LS,West Bengal,West Bengal,Kolkata,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),KOLKATA,Shri Abhishek Banerjee,ABHISHEK BANERJEE,LS_ABHISHEK BANERJEE,DIAMOND HARBOUR,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,Construction of CC Road with Drain Holding No. Z-3/238/123 to Z-3/238/125 Bagdi Para Road. (150 mtr),Construction of CC Road with Drain Holding No. Z-3/238/123 to Z-3/238/125 Bagdi Para Road. (150 mtr),2024-09-05 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2c1492fb383a
wk_2c40344da776,,RS,Karnataka,Karnataka,Belagavi,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),BELAGAVI,Shri Jairam Ramesh (2022-28) (2022-2028),JAIRAM RAMESH,RS_JAIRAM RAMESH,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,Village Nesaragi Tahashil. Bailhongal,Village Nesaragi Tahashil. Bailhongal,2025-09-19 00:00:00,,,1700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2c40344da776
wk_2c5550953b8b,,RS,Maharashtra,Maharashtra,Nanded,NANDED(DISTRICT COLLECTOR NANDED_IDA),NANDED,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),ASHOKRAO SHANKARRAO CHAVAN,RS_ASHOKRAO SHANKARRAO CHAVAN,,Elected MP,Installation of fixed garden gym equipment,Normal/Others,Normal/Others,,"Installation of exercise material (open gym) in the open space of Gram Panchayat at Mauje Mendhala (Khu.), Taluka Ardhapur, District Nanded","Installation of exercise material (open gym) in the open space of Gram Panchayat at Mauje Mendhala (Khu.), Taluka Ardhapur, District Nanded",2024-12-15 00:00:00,,,700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2c5550953b8b
wk_2c9a33a18fbf,,RS,Maharashtra,Maharashtra,Hingoli,HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA),HINGOLI,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),ANIL SUKHDEORAO BONDE,RS_ANIL SUKHDEORAO BONDE,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,Construction of rooms in Z P School at KAwardadi tq Sengaon,Construction of rooms in Z P School at KAwardadi tq Sengaon,2024-10-05 00:00:00,,,2500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2c9a33a18fbf
wk_2cb1f0599f1a,,RS,Andhra Pradesh,Andhra Pradesh,Y.S.R. Kadapa,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. KADAPA,Shri S Niranjan Reddy (2022-28) (2022-2028),S NIRANJAN REDDY,RS_S NIRANJAN REDDY,,Elected MP,Construction of additional rooms and halls in the existing public and community building,Normal/Others,Normal/Others,,"Providing additional amenities for Community Hall, Ward No.32, Pulivendula Municipality, YSR Kadapa Distric","Providing additional amenities for Community Hall, Ward No.32, Pulivendula Municipality, YSR Kadapa Distric",2025-12-11 00:00:00,,,5000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2cb1f0599f1a
wk_2d1b13be2468,,RS,Odisha,Odisha,Khordha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),KHORDHA,Dr. Sasmit Patra (2022-28) (2022-2028),SASMIT PATRA,RS_SASMIT PATRA,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,"Construction of two additional classrooms of the B.B. Govt Vocational Higher Secondary School for the Visually Impaired, Unit-3, Bhubaneswar","Construction of two additional classrooms of the B.B. Govt Vocational Higher Secondary School for the Visually Impaired, Unit-3, Bhubaneswar",2024-01-26 00:00:00,,,1500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2d1b13be2468
wk_2d2beff8cd33,,LS,Madhya Pradesh,Madhya Pradesh,Dindori,DINDORI(District Collector Dindori_IDA),DINDORI,Faggan Singh Kulaste,FAGGAN SINGH KULASTE,LS_FAGGAN SINGH KULASTE,MANDLA(ST),,Construction of community centers and community halls,Normal/Others,Normal/Others,,"Gram Panchayat bahadur, janpad panchayat mehandwani me panchayat bhawan ke pas sanskritik bhawan nirman","Gram Panchayat bahadur, janpad panchayat mehandwani me panchayat bhawan ke pas sanskritik bhawan nirman",2024-12-12 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2d2beff8cd33
wk_2da21de82902,,RS,Uttarakhand,Uttarakhand,Almora,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),ALMORA,Shri Naresh Bansal (2020-26) (2020-2026),NARESH BANSAL,RS_NARESH BANSAL,,Elected MP,Installing tube-wells and borewells,Normal/Others,Normal/Others,,"Shri Ram sanskrit vidyapeeth,Shri Ram Mandir,ranikhet , jhula devi mandir ke pass sarvjanik sthan mein nya boring pump","Shri Ram sanskrit vidyapeeth,Shri Ram Mandir,ranikhet , jhula devi mandir ke pass sarvjanik sthan mein nya boring pump",2025-11-17 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2da21de82902
