work_key,work_id,house,state,state_key,district_name,ida_raw,ida_key,mp_name_raw,mp_name_clean,mp_key,constituency,elected_nominated,work_raw,work_category_raw,category_raw,category_nlp,work_description_raw,work_description_clean,recommended_date,sanction_date,completion_date,recommended_amount,sanction_amount,amount_disbursed,work_status,image_raw,source_stage,quarantine_reason,work_key_mode,work_key_source
wk_000b2eec8b98,,RS,Karnataka,Karnataka,Chikkamagaluru,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),CHIKKAMAGALURU,Shri Jairam Ramesh (2022-28) (2022-2028),JAIRAM RAMESH,RS_JAIRAM RAMESH,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of Community Hall at Abbinaholalu Village of Gowrapura Village Panchayath Kadur Tq,Construction of Community Hall at Abbinaholalu Village of Gowrapura Village Panchayath Kadur Tq,2025-02-28 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_000b2eec8b98
wk_00138f18508f,,RS,Assam,Assam,Sivasagar,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),SIVASAGAR,Shri Pabitra Margherita (2022-28) (2022-2028),PABITRA MARGHERITA,RS_PABITRA MARGHERITA,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,CONSTRUCTION OF DUPDOR KUKURACHOWA SANSKRITIK KENDRA,CONSTRUCTION OF DUPDOR KUKURACHOWA SANSKRITIK KENDRA,2026-01-27 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_00138f18508f
wk_0014c6672236,,RS,Tamil Nadu,Tamil Nadu,Thiruvallur,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),THIRUVALLUR,Shri R. Girirajan (2022-28) (2022-2028),R GIRIRAJAN,RS_R GIRIRAJAN,,Elected MP,Lighting of public spaces,Normal/Others,Normal/Others,,"Installation of mini-mast lighting (9 meters high, 150 W, 6 units) at Kammarapalayam, Thervazhi Panchayat, Gummidipoondi Union, Gummidipoondi Assembly Constituency, Thiruvallur District.","Installation of mini-mast lighting (9 meters high, 150 W, 6 units) at Kammarapalayam, Thervazhi Panchayat, Gummidipoondi Union, Gummidipoondi Assembly Constituency, Thiruvallur District.",2026-01-21 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0014c6672236
wk_001909a10280,,LS,Maharashtra,Maharashtra,Dharashiv,Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),DHARASHIV,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,LS_OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,OSMANABAD,,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of community centers in Gram Panchayat Owned Open Space (Milkat No. 58) here.,Construction of community centers in Gram Panchayat Owned Open Space (Milkat No. 58) here.,2024-10-01 00:00:00,,,700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_001909a10280
wk_002f27ad822a,,RS,Assam,Assam,Jorhat,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),JORHAT,Shri Pabitra Margherita (2022-28) (2022-2028),PABITRA MARGHERITA,RS_PABITRA MARGHERITA,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,"Construction of Teok Rajohuwa Mukoli Mancha, Teok Chawdung Gaon","Construction of Teok Rajohuwa Mukoli Mancha, Teok Chawdung Gaon",2025-09-03 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_002f27ad822a
wk_0074647524c3,,RS,Kerala,Kerala,Ernakulam,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM,Shri Jose K. Mani (2024-30) (2024-2030),JOSE K MANI,RS_JOSE K MANI,,Elected MP,Installing community drinking water plants,Normal/Others,Normal/Others,,Construction Mutholapuram Pulingunnumala- Vettiyodi Drinking Water Scheme (Cat : SC),Construction Mutholapuram Pulingunnumala- Vettiyodi Drinking Water Scheme (Cat : SC),2024-12-11 00:00:00,,,2500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0074647524c3
wk_009aa0f7338f,,LS,Kerala,Kerala,Pathanamthitta,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA,Anto Antony,ANTO ANTONY,LS_ANTO ANTONY,PATHANAMTHITTA,,Lighting of public spaces,Normal/Others,Normal/Others,,Providing 8 Meter LED Mini Mast Light at Mandappuzha Puthuval Colony in Ranni- Perunadu Grama Panchayat.(SC),Providing 8 Meter LED Mini Mast Light at Mandappuzha Puthuval Colony in Ranni- Perunadu Grama Panchayat.(SC),2024-09-24 00:00:00,,,250000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_009aa0f7338f
wk_009c8188ba82,,RS,Karnataka,Karnataka,Tumakuru,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),TUMAKURU,Shri G.C. Chandrashekhar (2024-30) (2024-2030),G C CHANDRASHEKHAR,RS_G C CHANDRASHEKHAR,,Elected MP,Providing drains and gutters for public drainage,Normal/Others,Normal/Others,,"construction of drainage from shivabasavayyana home to anekere at Tumkur district, Tiptur taluk, Nonavinakere hobali, Nellikere grama panchayath, Burudeghatta village","construction of drainage from shivabasavayyana home to anekere at Tumkur district, Tiptur taluk, Nonavinakere hobali, Nellikere grama panchayath, Burudeghatta village",2025-01-28 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_009c8188ba82
wk_00a03edc9abd,,LS,Uttar Pradesh,Uttar Pradesh,Amethi,Amethi(DISTRICT MAGISTRAE AMETHI_IDA),AMETHI,KISHORI LAL,KISHORI LAL,LS_KISHORI LAL,AMETHI,,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,"Release a total amount of Rs. 6,25,000(Six Lakh Twenty Five Thousands Only) from the MPLADS Fund as a contribution for the renovation, repair, reconstruction, and infrastructure facilities for Shri Nishad Raj Intermediate College, Kitiyawan, Block-Shahgarh, selected under Project Alankar.","Release a total amount of Rs. 6,25,000(Six Lakh Twenty Five Thousands Only) from the MPLADS Fund as a contribution for the renovation, repair, reconstruction, and infrastructure facilities for Shri Nishad Raj Intermediate College, Kitiyawan, Block-Shahgarh, selected under Project Alankar.",2024-10-08 00:00:00,,,625000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_00a03edc9abd
wk_010d7a77f299,,RS,Uttar Pradesh,Uttar Pradesh,Bahraich,BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA),BAHRAICH,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),LAXMIKANT BAJPAYEE,RS_LAXMIKANT BAJPAYEE,,Elected MP,Construction of rooms and halls in school and colleges,Trust and Society,Trust and Society,,Constuction of classroom,Constuction of classroom,2025-05-15 00:00:00,,,580800.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_010d7a77f299
wk_013d33ab3815,,RS,Maharashtra,Maharashtra,Nanded,NANDED(DISTRICT COLLECTOR NANDED_IDA),NANDED,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),ASHOKRAO SHANKARRAO CHAVAN,RS_ASHOKRAO SHANKARRAO CHAVAN,,Elected MP,Providing drains and gutters for public drainage,Normal/Others,Normal/Others,,"Construction of CC drain at Amdari tanda in Mauje Amdari, Taluka Bhokar, District Nanded","Construction of CC drain at Amdari tanda in Mauje Amdari, Taluka Bhokar, District Nanded",2024-12-15 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_013d33ab3815
wk_01a3f1ef61d0,,LS,Goa,Goa,North Goa,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),NORTH GOA,Shripad Yesso Naik,SHRIPAD YESSO NAIK,LS_SHRIPAD YESSO NAIK,NORTH GOA,,"Purchase of hearse van (Four, three and two wheelers)",Normal/Others,Normal/Others,,"TATA WINGER Ambulance Type B High Roof3200MM AC Diesel BSVI proposal for Hearse van to V.P Veling Priol Cuncolim,Mardol,Ponda Goa","TATA WINGER Ambulance Type B High Roof3200MM AC Diesel BSVI proposal for Hearse van to V.P Veling Priol Cuncolim,Mardol,Ponda Goa",2024-12-06 00:00:00,,,1662700.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_01a3f1ef61d0
wk_025be3c7f8af,,RS,Madhya Pradesh,Madhya Pradesh,Ujjain,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),UJJAIN,Shri Balyogi Umeshnath (2024-30) (2024-2030),BALYOGI UMESHNATH,RS_BALYOGI UMESHNATH,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,Ujjain ward 46 alakhdham nagar swarg sundaram takiez ke pass manchhapurn hanuman mandir ke samne sabhamandap samudayik bhawan nirman,Ujjain ward 46 alakhdham nagar swarg sundaram takiez ke pass manchhapurn hanuman mandir ke samne sabhamandap samudayik bhawan nirman,2026-01-08 00:00:00,,,7000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_025be3c7f8af
wk_02680ef9f360,,RS,Assam,Assam,Chirang,CHIRANG(Deputy Commissioner Chirang_IDA),CHIRANG,Shri Rwngwra Narzary (2022-28) (2022-2028),RWNGWRA NARZARY,RS_RWNGWRA NARZARY,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,"Construction of additional class room at Kusungdwisa LP school under Shantipur VCDC,chirang.","Construction of additional class room at Kusungdwisa LP school under Shantipur VCDC,chirang.",2024-08-28 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_02680ef9f360
wk_0284568830bb,,RS,Kerala,Kerala,Kozhikode,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE,Smt. P. T. Usha (2022-28) (2022-2028),P T USHA,RS_P T USHA,,Nominated MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,Construction of Kottiyath Palam Maniyoth Laksham Veed Road,Construction of Kottiyath Palam Maniyoth Laksham Veed Road,2025-06-17 00:00:00,,,1500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0284568830bb
wk_02ddbfc976ba,,RS,Kerala,Kerala,Kozhikode,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE,Smt. P. T. Usha (2022-28) (2022-2028),P T USHA,RS_P T USHA,,Nominated MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,Construction of Kuttyayathil Madathil Mukku Road in Division 19 (Concreting),Construction of Kuttyayathil Madathil Mukku Road in Division 19 (Concreting),2025-08-16 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_02ddbfc976ba
wk_0303f3c5d793,,RS,Odisha,Odisha,Rayagada,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),RAYAGADA,Dr. Sasmit Patra (2022-28) (2022-2028),SASMIT PATRA,RS_SASMIT PATRA,,Elected MP,Construction of buildings for sports facilities,Normal/Others,Normal/Others,,"Completion of incomplete building of Netaji Social, Cultural and Sporting Club, At-PO- Bissamcuttack, Dist. - Rayagada, Pin - 765019.","Completion of incomplete building of Netaji Social, Cultural and Sporting Club, At-PO- Bissamcuttack, Dist. - Rayagada, Pin - 765019.",2025-01-21 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0303f3c5d793
wk_03339de14583,,RS,Telangana,Telangana,Nizamabad,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),NIZAMABAD,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),RAVI CHANDRA VADDIRAJU,RS_RAVI CHANDRA VADDIRAJU,,Elected MP,Providing drains and gutters for public drainage,Normal/Others,Normal/Others,,"Laying of CC Drain K.Shankar Plot to Ananthagiri Swamy Plot at Sikindrapur(V), Jakranpally(M)","Laying of CC Drain K.Shankar Plot to Ananthagiri Swamy Plot at Sikindrapur(V), Jakranpally(M)",2025-06-20 00:00:00,,,498000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_03339de14583
wk_0339c1605b10,,RS,Uttar Pradesh,Uttar Pradesh,Gautam Buddha Nagar,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),GAUTAM BUDDHA NAGAR,Shri Tejveer Singh (2024-30) (2024-2030),TEJVEER SINGH,RS_TEJVEER SINGH,,Elected MP,Construction of boundary walls of existing public and community buildings,Normal/Others,Normal/Others,,construction of boundary wall at mahrishi ved vedag viyapeeth gurukul school greater noida,construction of boundary wall at mahrishi ved vedag viyapeeth gurukul school greater noida,2025-09-22 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0339c1605b10
wk_034e4fef8136,,LS,Goa,Goa,North Goa,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),NORTH GOA,Shripad Yesso Naik,SHRIPAD YESSO NAIK,LS_SHRIPAD YESSO NAIK,NORTH GOA,,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Normal/Others,Normal/Others,,Provide artificial limb left side to Shri Ajay Shantaram Govekar,Provide artificial limb left side to Shri Ajay Shantaram Govekar,2024-12-04 00:00:00,,,90300.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_034e4fef8136
wk_03699e0b51bb,,RS,Telangana,Telangana,Mahabubabad,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),MAHABUBABAD,Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),ANIL KUMAR YADAV MANDADI,RS_ANIL KUMAR YADAV MANDADI,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,"Construction of community Hall at Arpanpally Village, Kesamudram Mandal, Mahabubabad District.","Construction of community Hall at Arpanpally Village, Kesamudram Mandal, Mahabubabad District.",2024-09-06 00:00:00,,,2000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_03699e0b51bb
wk_03f3507111be,,RS,Kerala,Kerala,Kozhikode,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE,Shri Abdul Wahab (2021-27) (2021-2027),ABDUL WAHAB,RS_ABDUL WAHAB,,Elected MP,Purchase of vans and buses for educational institutions,Normal/Others,Normal/Others,,"Purchasing of School Bus for Calicut orphanage ALP School Kolathara, Ward No.42, Kozhikode Corporation.","Purchasing of School Bus for Calicut orphanage ALP School Kolathara, Ward No.42, Kozhikode Corporation.",2025-03-10 00:00:00,,,2015000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_03f3507111be
wk_04415dcae08a,,RS,Assam,Assam,Chirang,CHIRANG(Deputy Commissioner Chirang_IDA),CHIRANG,Shri Rwngwra Narzary (2022-28) (2022-2028),RWNGWRA NARZARY,RS_RWNGWRA NARZARY,,Elected MP,Construction of boundary walls of existing public and community buildings,Normal/Others,Normal/Others,,Construction of Boundary wall and sanitary at North Roumari community hall under Roumari VCDC.,Construction of Boundary wall and sanitary at North Roumari community hall under Roumari VCDC.,2025-08-11 00:00:00,,,1200000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04415dcae08a
wk_04481f1eeebb,,RS,Kerala,Kerala,Kozhikode,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),KOZHIKODE,Shri Abdul Wahab (2021-27) (2021-2027),ABDUL WAHAB,RS_ABDUL WAHAB,,Elected MP,Providing drains and gutters for public drainage,Repair and Renovation,Repair and Renovation,,"Construction of drainage at Kuriyal line road, ward no.61, Kozhikode Municipal Corporation","Construction of drainage at Kuriyal line road, ward no.61, Kozhikode Municipal Corporation",2025-03-10 00:00:00,,,5000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04481f1eeebb
wk_0457beb0c9db,,RS,Maharashtra,Maharashtra,Amravati,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),AMRAVATI,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),ANIL SUKHDEORAO BONDE,RS_ANIL SUKHDEORAO BONDE,,Elected MP,Development of public parks,Normal/Others,Normal/Others,,Development place of Ner Pinglai Grampanchyat,Development place of Ner Pinglai Grampanchyat,2025-06-03 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0457beb0c9db
wk_04a5ee01e5fd,,RS,Odisha,Odisha,Kataka,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),KATAKA,Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),MANAS RANJAN MANGARAJ,RS_MANAS RANJAN MANGARAJ,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,"Construction of Gayatri Paribara Community center in Ward No. 10, Choudwar Municipality","Construction of Gayatri Paribara Community center in Ward No. 10, Choudwar Municipality",2025-06-07 00:00:00,,,150000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04a5ee01e5fd
wk_04e018da2a7f,,RS,Odisha,Odisha,Khordha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),KHORDHA,Shri Subhasish Khuntia (2024-30) (2024-2030),SUBHASISH KHUNTIA,RS_SUBHASISH KHUNTIA,,Elected MP,Construction of boundary walls of existing public and community buildings,Normal/Others,Normal/Others,,Completion of boundary wall of Raghunathpur UG UP School,Completion of boundary wall of Raghunathpur UG UP School,2025-09-15 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04e018da2a7f
wk_04ea44f6dfdc,,RS,Rajasthan,Rajasthan,Jodhpur,JODHPUR(DISTRICT COLLECTOR JODHPUR IDA),JODHPUR,Shri Randeep Singh Surjewala (2022-28) (2022-2028),RANDEEP SINGH SURJEWALA,RS_RANDEEP SINGH SURJEWALA,,Elected MP,Construction of New Building,Normal/Others,Normal/Others,,"Construction of RCC Chambers G plus 1 at Rajasthan High Court, Jodhpur","Construction of RCC Chambers G plus 1 at Rajasthan High Court, Jodhpur",2025-10-07 00:00:00,,,10000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04ea44f6dfdc
wk_04ecc967accc,,LS,West Bengal,West Bengal,Darjeeling,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),DARJEELING,Raju Bista,RAJU BISTA,LS_RAJU BISTA,DARJEELING,,Construction of additional rooms and halls in the existing public and community building,Normal/Others,Normal/Others,,"Construction of additional rooms at Milan Sangha, Naguru Jote, Nimai, Patharghata Gram Panchayat Ref: Shailesh Sing (7384197077)","Construction of additional rooms at Milan Sangha, Naguru Jote, Nimai, Patharghata Gram Panchayat Ref: Shailesh Sing (7384197077)",2024-08-16 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_04ecc967accc
wk_050610fa0959,,RS,Telangana,Telangana,Rajanna Sircilla,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),RAJANNA SIRCILLA,Shri Damodar Rao Divakonda (2022-28) (2022-2028),DAMODAR RAO DIVAKONDA,RS_DAMODAR RAO DIVAKONDA,,Elected MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,C/o CC Road & Drain from H.No.10-2-89 to Pochamma Temple and From H.No.10-1-117 line in Ward No.20 Sircilla Town,C/o CC Road & Drain from H.No.10-2-89 to Pochamma Temple and From H.No.10-1-117 line in Ward No.20 Sircilla Town,2024-10-23 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_050610fa0959
wk_0533f3148714,,LS,Madhya Pradesh,Madhya Pradesh,Shajapur,SHAJAPUR(District Collector Shajapur_IDA),SHAJAPUR,Mahendra Singh Solanky,MAHENDRA SINGH SOLANKY,LS_MAHENDRA SINGH SOLANKY,DEWAS(SC),,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,ward 28 shajapur me vidhalay bhavan nirman hetu,ward 28 shajapur me vidhalay bhavan nirman hetu,2024-11-26 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0533f3148714
wk_05457f4a6b50,,RS,Maharashtra,Maharashtra,Buldhana,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),BULDHANA,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),ANIL SUKHDEORAO BONDE,RS_ANIL SUKHDEORAO BONDE,,Elected MP,"Purchase of IT systems, including hardware and software for educational purposes",Normal/Others,Normal/Others,,"Installation of Digital class rooms at Shri Shivaji High school, Mehkar","Installation of Digital class rooms at Shri Shivaji High school, Mehkar",2025-10-09 00:00:00,,,350000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_05457f4a6b50
wk_05506c6d57ee,,RS,Telangana,Telangana,Rajanna Sircilla,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),RAJANNA SIRCILLA,Shri Damodar Rao Divakonda (2022-28) (2022-2028),DAMODAR RAO DIVAKONDA,RS_DAMODAR RAO DIVAKONDA,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,B/w of Gram Panchayat Building at Banjeru (V) Veernapally (m),B/w of Gram Panchayat Building at Banjeru (V) Veernapally (m),2024-10-23 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_05506c6d57ee
wk_05cd4e7c70d8,,LS,Kerala,Kerala,Pathanamthitta,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA,Anto Antony,ANTO ANTONY,LS_ANTO ANTONY,PATHANAMTHITTA,,Lighting of public spaces,Normal/Others,Normal/Others,,"Providing 8 Meter LED Mini Mast Light at St. Mary's Catholic Church Junction, Vakayar in Konni Grama Panchayat.","Providing 8 Meter LED Mini Mast Light at St. Mary's Catholic Church Junction, Vakayar in Konni Grama Panchayat.",2024-11-18 00:00:00,,,250000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_05cd4e7c70d8
wk_05e1c62be66f,,LS,Bihar,Bihar,Darbhanga,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),DARBHANGA,Mr Gopal Jee Thakur,GOPAL JEE THAKUR,LS_GOPAL JEE THAKUR,DARBHANGA,,Street lights,Normal/Others,Normal/Others,,alinagar prakhand antargat motipur panchayat ke motipur chowk ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya,alinagar prakhand antargat motipur panchayat ke motipur chowk ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya,2024-11-28 00:00:00,,,495000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_05e1c62be66f
wk_061beba06103,,LS,Kerala,Kerala,Pathanamthitta,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA,Anto Antony,ANTO ANTONY,LS_ANTO ANTONY,PATHANAMTHITTA,,Lighting of public spaces,Normal/Others,Normal/Others,,"Providing 8 Meter LED Mini Mast Light at Govt. LP School Junction, Arayanjilimannu in Ranni-Perunadu Grama Panchayat. (ST)","Providing 8 Meter LED Mini Mast Light at Govt. LP School Junction, Arayanjilimannu in Ranni-Perunadu Grama Panchayat. (ST)",2024-09-24 00:00:00,,,250000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_061beba06103
wk_0644c61d3256,,RS,Odisha,Odisha,Khordha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),KHORDHA,Dr. Sasmit Patra (2022-28) (2022-2028),SASMIT PATRA,RS_SASMIT PATRA,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,"Construction of Auditorium of BJB (Autonomous) College, BJB Nagar, Bhubaneswar (Bhubaneswar Municipal Corporation)","Construction of Auditorium of BJB (Autonomous) College, BJB Nagar, Bhubaneswar (Bhubaneswar Municipal Corporation)",2023-12-31 00:00:00,,,5000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0644c61d3256
wk_06cea875ade6,,RS,Tamil Nadu,Tamil Nadu,Perambalur,PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA),PERAMBALUR,Shri P. Wilson (2025-31) (2025-2031),P WILSON,RS_P WILSON,,Elected MP,Construction of toilet blocks,Normal/Others,Normal/Others,,Construction of Toilet Block with water supply arrangements to ADW primary school at Velur in Perambalur District,Construction of Toilet Block with water supply arrangements to ADW primary school at Velur in Perambalur District,2026-01-14 00:00:00,,,3700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_06cea875ade6
wk_06e1f2bc0c5b,,RS,Karnataka,Karnataka,Ballari,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),BALLARI,Dr. Syed Naseer Hussain (2024-30) (2024-2030),SYED NASEER HUSSAIN,RS_SYED NASEER HUSSAIN,,Elected MP,Construction of common work sheds/ common covered sitting area,Trust and Society,Trust and Society,,Construction of Open Mini Shed at MISSIONARIES OF CHARITY Mother Theresa Orphanage Home (R) Ballari City Ballari District.,Construction of Open Mini Shed at MISSIONARIES OF CHARITY Mother Theresa Orphanage Home (R) Ballari City Ballari District.,2025-05-21 00:00:00,,,1200000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_06e1f2bc0c5b
wk_073be51bf608,,RS,Madhya Pradesh,Madhya Pradesh,Guna,GUNA(District Collector Guna_IDA),GUNA,Smt. Maya Naroliya (2024-30) (2024-2030),MAYA NAROLIYA,RS_MAYA NAROLIYA,,Elected MP,Construction of rooms and halls in school and colleges,Trust and Society,Trust and Society,,Sarswati Shishu Mandir Aaron mein hall kaksh nirman karya,Sarswati Shishu Mandir Aaron mein hall kaksh nirman karya,2025-03-06 00:00:00,,,2000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_073be51bf608
wk_0743afe20989,,RS,Kerala,Kerala,Kannur,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),KANNUR,Shri Sandosh Kumar P (2022-28) (2022-2028),SANDOSH KUMAR P,RS_SANDOSH KUMAR P,,Elected MP,Installing community drinking water plants,Normal/Others,Normal/Others,,Naniyyor Nambram 3 cent Colony Drinking Water Supply Scheme in Mayyil Grama Panchayath Ward 16,Naniyyor Nambram 3 cent Colony Drinking Water Supply Scheme in Mayyil Grama Panchayath Ward 16,2025-06-10 00:00:00,,,700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0743afe20989
wk_075039097e16,,RS,Telangana,Telangana,Nizamabad,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),NIZAMABAD,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),RAVI CHANDRA VADDIRAJU,RS_RAVI CHANDRA VADDIRAJU,,Elected MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,"Laying of CC Road from S.Ramulu Plot to Mini Tank at Sikindrapur(V), Jakranpally(M)","Laying of CC Road from S.Ramulu Plot to Mini Tank at Sikindrapur(V), Jakranpally(M)",2025-06-20 00:00:00,,,498000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_075039097e16
wk_07a306dec3c3,,RS,Uttar Pradesh,Uttar Pradesh,Muzaffarnagar,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),MUZAFFARNAGAR,Shri Kapil Sibal (2022-28) (2022-2028),KAPIL SIBAL,RS_KAPIL SIBAL,,Elected MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,Construction work of Interlocking Tiles at Main Road from Village Sohjani Marg to Bhumiya,Construction work of Interlocking Tiles at Main Road from Village Sohjani Marg to Bhumiya,2024-12-20 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_07a306dec3c3
