sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
355,Uttar Pradesh,RAHUL GANDHI,RAE BARELI,147000000.0,LS,Uttar Pradesh,,RAHUL GANDHI,LS_RAHUL GANDHI
356,Rajasthan,Rahul Kaswan,CHURU,147000000.0,LS,Rajasthan,,RAHUL KASWAN,LS_RAHUL KASWAN
357,Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.37,LS,Madhya Pradesh,,RAHUL SINGH LODHI,LS_RAHUL SINGH LODHI
358,Bihar,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,147000000.0,LS,Bihar,,RAJ BHUSHAN CHOUDHARY,LS_RAJ BHUSHAN CHOUDHARY
359,Rajasthan,RAJ KUMAR ROAT,BANSWARA(ST),147000000.0,LS,Rajasthan,,RAJ KUMAR ROAT,LS_RAJ KUMAR ROAT
360,Bihar,RAJA RAM SINGH,KARAKAT,147000000.0,LS,Bihar,,RAJA RAM SINGH,LS_RAJA RAM SINGH
361,Maharashtra,RAJABHAU,NASHIK,152878682.11,LS,Maharashtra,,RAJABHAU,LS_RAJABHAU
362,Himachal Pradesh,RAJEEV BHARDWAJ,KANGRA,179388967.11,LS,Himachal Pradesh,,RAJEEV BHARDWAJ,LS_RAJEEV BHARDWAJ
363,Uttar Pradesh,RAJEEV RAI,GHOSI,147000000.0,LS,Uttar Pradesh,,RAJEEV RAI,LS_RAJEEV RAI
364,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,147000000.0,LS,Bihar,,RAJESH RANJAN ALIAS PAPPU YADAV,LS_RAJESH RANJAN ALIAS PAPPU YADAV
365,Bihar,RAJESH VERMA,KHAGARIA,147000000.0,LS,Bihar,,RAJESH VERMA,LS_RAJESH VERMA
366,Gujarat,Rajeshbhai Naranbhai Chudasama,JUNAGADH,147000000.0,LS,Gujarat,,RAJESHBHAI NARANBHAI CHUDASAMA,LS_RAJESHBHAI NARANBHAI CHUDASAMA
367,Bihar,Rajiv Pratap Rudy,SARAN,147000000.0,LS,Bihar,,RAJIV PRATAP RUDY,LS_RAJIV PRATAP RUDY
368,Bihar,Rajiv Ranjan (Lalan) Singh,MUNGER,147000000.0,LS,Bihar,,RAJIV RANJAN LALAN SINGH,LS_RAJIV RANJAN LALAN SINGH
369,Uttar Pradesh,Rajkumar Chahar,FATEHPUR SIKRI,147000000.0,LS,Uttar Pradesh,,RAJKUMAR CHAHAR,LS_RAJKUMAR CHAHAR
370,Uttar Pradesh,Rajnath Singh,LUCKNOW,154808797.11,LS,Uttar Pradesh,,RAJNATH SINGH,LS_RAJNATH SINGH
371,Gujarat,RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,147000000.0,LS,Gujarat,,RAJPALSINH MAHENDRASINH JADAV,LS_RAJPALSINH MAHENDRASINH JADAV
372,West Bengal,Raju Bista,DARJEELING,147000000.0,LS,West Bengal,,RAJU BISTA,LS_RAJU BISTA
373,Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000.0,LS,Uttar Pradesh,,RAKESH RATHOR,LS_RAKESH RATHOR
374,Assam,RAKIBUL HUSSAIN,DHUBRI,147000000.0,LS,Assam,,RAKIBUL HUSSAIN,LS_RAKIBUL HUSSAIN
375,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,LS,Uttar Pradesh,,RAM PRASAD CHAUDHARY,LS_RAM PRASAD CHAUDHARY
376,Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.11,LS,Uttar Pradesh,,RAM SHIROMANI,LS_RAM SHIROMANI
377,Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000.0,LS,Telangana,,RAMASAHAYAM RAGHURAM REDDY,LS_RAMASAHAYAM RAGHURAM REDDY
378,Uttar Pradesh,RAMASHANKAR RAJBHAR,SALEMPUR,160056927.07,LS,Uttar Pradesh,,RAMASHANKAR RAJBHAR,LS_RAMASHANKAR RAJBHAR
379,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.11,LS,Uttar Pradesh,,RAMBHUAL NISHAD,LS_RAMBHUAL NISHAD
380,Uttar Pradesh,RAMESH AWASTHI,KANPUR,147000000.0,LS,Uttar Pradesh,,RAMESH AWASTHI,LS_RAMESH AWASTHI
381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,LS,Karnataka,,RAMESH CHANDAPPA JIGAJINAGI,LS_RAMESH CHANDAPPA JIGAJINAGI
382,Bihar,Ramprit Mandal,JHANJHARPUR,147000000.0,LS,Bihar,,RAMPRIT MANDAL,LS_RAMPRIT MANDAL
383,Delhi,Ramvir Singh Bidhuri,SOUTH DELHI,147559100.0,LS,Delhi,,RAMVIR SINGH BIDHURI,LS_RAMVIR SINGH BIDHURI
384,Assam,RANJIT DUTTA,Sonitpur,147000000.0,LS,Assam,,RANJIT DUTTA,LS_RANJIT DUTTA
385,Haryana,Rao Inderjit Singh,GURGAON,147000000.0,LS,Haryana,,RAO INDERJIT SINGH,LS_RAO INDERJIT SINGH
386,Rajasthan,Rao Rajendra Singh,JAIPUR RURAL,147000000.0,LS,Rajasthan,,RAO RAJENDRA SINGH,LS_RAO RAJENDRA SINGH
